Metric,v0_multi,v1_multi,v1_single,v1_zero
METEOR (full),0.229463,0.259916,0.264592,0.26049
METEOR (x),0.010804,0.010777,0.012579,0.011583
BLEU-1 (full),0.301667,0.331811,0.331493,0.33045
BLEU-1 (x),0.010845,0.012431,0.011644,0.011906
BLEU-2 (full),0.153133,0.181175,0.180487,0.179358
BLEU-2 (x),0.008877,0.01137,0.009655,0.010626
BLEU-3 (full),0.08197,0.103655,0.103685,0.102074
BLEU-3 (x),0.005848,0.008166,0.007084,0.007411
BLEU-4 (full),0.049993,0.064982,0.064559,0.063733
BLEU-4 (x),0.004275,0.00617,0.005093,0.005406
